ID,Title,Description,PageCount,Excerpt,PublishDate
1,Book 1,Description 1,100,yes and no,2023-1-1T21:52:44.431Z
2,Book 2,Description 2,44,no and yes,2023-1-1T00:52:44.431Z
3,Book 3,Description 3,32,yes and no,2023-1-1T00:52:44.431Z
4,Book 4,Description 4,44,no and yes,2023-1-1T00:52:44.431Z
5,Book 5,Description 5,66,yes and no,2023-1-1T00:52:44.431Z
6,Book 6,Description 6,100,no and yes,2023-1-1T00:52:44.431Z
7,Book 7,Description 7,100,yes and no,2023-1-1T00:52:44.431Z
8,Book 8,Description 8,543,no and yes,2023-1-1T00:52:44.431Z
9,Book 9,Description 9,765,yes and no,2023-1-1T00:52:44.431Z
10,Book 10,Description 10,777,no and yes,2023-1-1T00:52:44.431Z
